permit_number,case_type,case_name,sub_type,work,status,proposed_land_use,desc_of_proposed_development,final_date,status_date,application_start_date,approval_date,calendar_year_folder_created,zip_code,existing_no_of_lots,proposed_no_of_lots
1997-000096 C8,Subdivision,COMANCHE CANYON RANCH PH 2,Final Plat,Without Preliminary,Expired,"999, 999",COMANCHE CANYON RANCH PH 2,NA,03/02/2007 06:10:13 AM,05/08/1997,NA,1997,NA,NA,NA
1997-000181 C8,Subdivision,SETTLERS MEADOW SECTION ONE,Final Plat,With Preliminary,Approved,999,SETTLERS MEADOW SECTION ONE,NA,03/02/2007 06:10:13 AM,04/23/1998,NA,1998,NA,NA,NA
1986-000115 C8,Subdivision,"SOUTH BLUFF PARK, SECTION ONE",NA,NA,Closed,999,"SOUTH BLUFF PARK, SECTION ONE",05/21/1990,03/02/2007 06:10:13 AM,11/22/1989,NA,1989,NA,NA,NA
2003-000039 C8,Subdivision,"DOMAIN SECTION 2 SUBDIVISION, BLOCK A, LOT 2 (PLAT VACATION)",NA,NA,Expired,999,"DOMAIN SECTION 2 SUBDIVISION, BLOCK A, LOT 2 (PLAT VACATION)",NA,04/13/2008 09:01:00 PM,02/23/2007,NA,2007,NA,NA,NA
1983-000068 C8,Subdivision,RIVER PLACE SECTION 10,NA,NA,Approved and Released,"999, 999, 999",RIVER PLACE SECTION 10,03/18/1996,03/02/2007 06:10:13 AM,08/04/1994,NA,1994,NA,NA,NA
2008-039708 C8,Subdivision,STIRLING BRIDGE,Subdivision Construction Plan,Concurrent,Approved and Released,"SF, ROW",NA,05/20/2009,05/20/2009 10:55:20 AM,05/23/2008,05/12/2009,2008,NA,NA,59
1992-000257 C8,Subdivision,"ISLAND AT MT. BONNELL SHORES, AMENDED PLAT OF LOTS23,24, 25, BLOCK A",NA,NA,Closed,999,"ISLAND AT MT. BONNELL SHORES, AMENDED PLAT OF LOTS23,24, 25, BLOCK A",12/01/1992,03/02/2007 06:10:13 AM,11/23/1992,NA,1992,NA,NA,NA
1996-000231 C8,Subdivision,HEB/CONGRESS AND OLTORF SUBDIVISION NO. 2,NA,NA,Approved,999,HEB/CONGRESS AND OLTORF SUBDIVISION NO. 2,NA,03/02/2007 06:10:13 AM,10/31/1996,NA,1996,NA,NA,NA
1999-000053 C8,Subdivision,SPEYSIDE SECTION TWO,Final Plat,With Preliminary,Approved,"SF, GRBL",SPEYSIDE SECTION TWO,04/23/2001,03/02/2007 06:10:13 AM,11/07/2000,NA,2000,NA,NA,NA
2001-000115 C8,Subdivision,"BUFFALO FRAMING, INC.",Final Plat,Without Preliminary,Approved,IND,"BUFFALO FRAMING, INC.",07/16/2001,03/02/2007 06:10:13 AM,05/22/2001,NA,2001,78660,NA,NA
1975-000133 C8,Subdivision,LOIS M. WIBLE SUBDIVISION,NA,NA,Closed,999,LOIS M. WIBLE SUBDIVISION,NA,03/02/2007 06:10:13 AM,08/01/1975,NA,1975,NA,NA,NA
1983-000072 C8,Subdivision,"WOODS OF BRUSHY CREEK SECTION II, PHASE IV",NA,NA,Approved and Released,999,"WOODS OF BRUSHY CREEK SECTION II, PHASE IV",03/08/1995,03/02/2007 06:10:13 AM,02/25/1994,NA,1994,NA,NA,NA
1984-000036 C8,Subdivision,SUNSET ADDITION,NA,NA,Closed,999,SUNSET ADDITION,04/26/1991,03/02/2007 06:10:13 AM,05/29/1987,NA,1987,NA,NA,NA
1992-000149 C8,Subdivision,BRODIE SPRINGS SEC 2,Subdivision Construction Plan,Street/Drainage,Approved and Released,"999, 999, 999",BRODIE SPRINGS SECTION TWO,10/29/1997,01/13/2009 09:26:20 AM,08/28/1997,NA,1997,NA,NA,35
1993-000088 C8,Subdivision,DSP ADDITION,NA,NA,Approved,999,DSP ADDITION,07/17/1993,03/02/2007 06:10:13 AM,06/04/1993,NA,1993,NA,NA,NA
1993-000036 C8,Subdivision,ST. JAMES EPISCOPAL CHURCH,NA,NA,Approved,999,ST. JAMES EPISCOPAL CHURCH,01/12/1994,03/02/2007 06:10:13 AM,02/22/1993,NA,1993,78721,NA,1
1985-000109 C8,Subdivision,"SKYLINE PARK, PHASE ONE",NA,NA,Closed,"999, 999","SKYLINE PARK, PHASE ONE",01/29/1988,03/02/2007 06:10:13 AM,01/04/1988,NA,1988,NA,NA,NA
1995-000064 C8,Subdivision,OVERLOOK AT LEWIS MOUNTAIN,NA,NA,Closed,"999, 999",OVERLOOK AT LEWIS MOUNTAIN,NA,03/02/2007 06:10:13 AM,06/18/1997,NA,1997,NA,NA,NA
1984-000164 C8,Subdivision,"CIRCLE C, PHASE B, SECTION 5",NA,NA,Approved and Released,999,"CIRCLE C, PHASE B, SECTION 5",NA,03/02/2007 06:10:13 AM,07/20/1988,NA,1988,NA,NA,NA
2006-000189 C,Subdivision Joint City/County,STONEY RIDGE PHASE C,Final Plat,With Preliminary,Expired,"SF, ROW",STONEY RIDGE PHASE C,NA,10/27/2014 04:57:06 PM,09/29/2006,NA,2006,NA,47,152
1995-000103 C8,Subdivision,RESERVOIR HEIGHTS BLOCK 4 RESUBDIVISION,NA,NA,Approved,999,RESERVOIR HEIGHTS BLOCK 4 RESUBDIVISION,NA,03/02/2007 06:10:13 AM,05/15/1995,NA,1995,NA,NA,1
2005-000190 C8,Subdivision,"ALTA MIRA SEC 1 AT CIRCLE C RANCH, AMENDED PLAT OF",Final Plat,Amended Plat,Approved,"SF, GRBL, ROW","ALTA MIRA SECTION 1 AT CIRCLE C RANCH, AMENDED PLAT OF",11/15/2005,01/29/2009 08:21:43 AM,09/19/2005,NA,2005,NA,NA,131
1978-000181 C8,Subdivision,DAISLEY ACRES,NA,NA,Approved,NA,DAISLEY ACRES,06/02/2000,03/02/2007 06:10:13 AM,04/21/2000,NA,2000,NA,NA,NA
1992-000085 C8,Subdivision,WESTFIELD CENTER,NA,NA,Approved and Released,"999, 999, 999, 999",WESTFIELD CENTER,06/09/1994,03/02/2007 06:10:13 AM,10/18/1993,NA,1993,NA,NA,15
1999-000097 C8,Subdivision,"PARKLINE 183, RESUBDIVISION OF LOT 2",Final Plat,Resubdivision,Expired,999,"PARKLINE 183, RESUBDIVISION LOT 2",06/16/1999,03/16/2009 02:06:04 PM,05/24/1999,NA,1999,NA,NA,NA
2001-000157 C,Subdivision Joint City/County,"STONE LAKE RANCH, PHASE 1 SEC 2",Subdivision Construction Plan,Street/Drainage,Awaiting Update,"SF, ROW","STONE LAKE RANCH, PHASE 1 SEC 2",07/26/2006,07/24/2009 02:28:50 PM,06/23/2006,NA,2006,NA,NA,84
1985-000156 C8,Subdivision,LEGEND OAKS SECTION 7,NA,NA,Approved,999,LEGEND OAKS SECTION 7,04/25/1994,03/02/2007 06:10:13 AM,11/04/1993,NA,1993,NA,NA,NA
1995-000077 C8,Subdivision,WISE SUBDIVISION,NA,NA,Closed,999,WISE SUBDIVISION,NA,03/02/2007 06:10:13 AM,04/17/1995,NA,1995,NA,NA,NA
1986-000058 C8,Subdivision,PAX REGIS,NA,NA,Withdrawn,999,PAX REGIS,NA,03/02/2007 06:10:13 AM,03/17/1986,NA,1986,NA,NA,NA
2004-000157 C8,Subdivision,"ESTATES AT CANYON CREEK SEC 1, AMENDED PLAT OF",Final Plat,Amended Plat,Approved,MF,"ESTATES AT CANYON CREEK SUBDIVISION, SEC 1, AMENDED PLAT OF",02/15/2005,01/28/2009 03:01:00 PM,11/08/2004,NA,2004,NA,NA,NA
1987-000010 C8,Subdivision,FERN BLUFF SECTION 3-A (EXPIRED SEE C814-87-010.2B),NA,NA,Closed,999,FERN BLUFF SECTION 3-A (EXPIRED SEE C814-87-010.2B),NA,03/02/2007 06:10:13 AM,01/07/1988,NA,1988,NA,NA,149
1997-000030 C8,Subdivision,CREEK SPRINGS ADDITION  **EXPIRED**,NA,NA,Expired,999,CREEK SPRINGS ADDITION  **EXPIRED**,NA,03/02/2007 06:10:13 AM,02/21/1997,NA,1997,NA,NA,NA
1995-000087 C8,Subdivision,COURTYARD AT GAINES RANCH,NA,NA,Approved,"999, 999, 999, 999",COURTYARD AT GAINES RANCH,NA,03/02/2007 06:10:13 AM,05/26/1995,NA,1995,NA,NA,65
1985-000068 C8,Subdivision,"NORTHWEST CROSSING STREET DEDICATION, PHASE 2",NA,NA,Closed,999,"NORTHWEST CROSSING STREET DEDICATION, PHASE 2",NA,03/02/2007 06:10:13 AM,03/08/1986,NA,1986,NA,NA,NA
1997-000123 C8,Subdivision,NORTHWOODS PHASE 1A,Subdivision Construction Plan,NA,Closed,OFC,NORTHWOODS PHASE 1A,03/28/2003,03/02/2007 06:10:13 AM,02/21/2003,NA,2003,NA,NA,NA
1997-000020 C8,Subdivision,"PERLITZ SUBDIVISION, RESUB OF LOT 6",NA,NA,Closed,999,"PERLITZ SUBDIVISION, RESUB OF LOT 6",NA,03/02/2007 06:10:13 AM,03/10/1998,NA,1998,NA,NA,NA
1994-000165 C8,Subdivision,J. DOYAL SUBDIVISION,NA,NA,Closed,999,J. DOYAL SUBDIVISION,NA,03/02/2007 06:10:13 AM,08/11/1994,NA,1994,NA,NA,NA
1996-000163 C8,Subdivision,PARMER CENTER,Preliminary Plan,Preliminary,Approved,999,PARMER CENTER,NA,05/08/2009 11:33:02 AM,08/07/1996,NA,1996,NA,NA,23
1999-000095 C8,Subdivision,VOLENTE SUBDIVISION (WITHDRAWAL & RESUBMITTAL OF C8-96-0129.0A),Final Plat,Previously Unplatted,Approved,999,VOLENTE SUBDIVISION (WITHDRAWAL & RESUBMITTAL OF C8-96-0129.0A),12/15/1999,03/16/2009 02:09:45 PM,05/17/1999,NA,1999,NA,NA,3
1985-000010 C8,Subdivision,"DAVENPORT WEST, PH. 1",NA,NA,Closed,999,"DAVENPORT WEST, PH. 1",12/23/1986,03/02/2007 06:10:13 AM,01/18/1985,NA,1985,NA,NA,NA
1997-000181 C8,Subdivision,SETTLERS MEADOW SECTION TWO,Subdivision Construction Plan,NA,Approved and Released,SF,SETTLERS MEADOW SECTION TWO,01/30/2001,03/02/2007 06:10:13 AM,10/23/2000,NA,2000,NA,NA,NA
2000-002015 C8,Subdivision,"NORTHWEST VALLEY ADDITION, RESUB OF LOTS 23, 24 & 25",Final Plat,Resubdivision,Approved,SF,"NORTHWEST VALLEY ADDITION, RESUB OF LOTS 23, 24 & 25",04/17/2000,03/16/2009 09:11:09 AM,01/11/2000,NA,2000,NA,NA,6
1991-000042 C8,Subdivision,NORTH LAMAR BUSINESS PARK,Final Plat,Previously Unplatted,Approved,"999, 999",NORTH LAMAR BUSINESS PARK,04/29/1991,10/31/2008 08:38:00 AM,04/15/1991,NA,1991,78753,NA,2
1989-000092 C8,Subdivision,"THE PARK AT SPICEWOOD SPRINGS PH. 1, SEC. 4",NA,NA,Approved and Released,NA,"THE PARK AT SPICEWOOD SPRINGS PH. 1, SEC. 4",05/30/1990,03/02/2007 06:10:13 AM,09/28/1989,NA,1989,NA,NA,NA
1984-000020 C8,Subdivision,"COLDWATER SECTION 4, PHASE A",NA,NA,Closed,999,"COLDWATER SECTION 4, PHASE A",NA,03/02/2007 06:10:13 AM,11/04/1994,NA,1994,NA,NA,NA
1997-000108 C8,Subdivision,"WESTFIELD A, BLOCK 14, RESUB OF LOT 5",NA,NA,Approved,999,"WESTFIELD A, BLOCK 14, RESUB OF LOT 5",NA,03/02/2007 06:10:13 AM,05/27/1997,NA,1997,NA,NA,NA
1987-000014 C8,Subdivision,"TOWNSHIP SECTION IA,THE",NA,NA,Closed,"999, 999","TOWNSHIP SECTION IA,THE",10/21/1987,03/02/2007 06:10:13 AM,10/05/1987,NA,1987,NA,NA,NA
1998-000016 C8,Subdivision,MONTOPOLIS DISTRIBUTION CENTER,Final Plat,Without Preliminary,Approved,999,MONTOPOLIS DISTRIBUTION CENTER,NA,03/02/2007 06:10:13 AM,01/29/1998,NA,1998,NA,NA,NA
1985-000067 C8,Subdivision,LAKELINE,NA,NA,Closed,999,LAKELINE,08/04/1989,03/02/2007 06:10:13 AM,09/12/1988,NA,1988,NA,NA,NA
1981-000014 C8,Subdivision,"JESTER POINT 2, SECTION 5-B, PHASE 1",NA,NA,Approved and Released,"999, 999, 999","JESTER POINT 2, SECTION 5-B, PHASE 1",03/27/1990,03/02/2007 06:10:13 AM,04/06/1989,NA,1989,NA,NA,NA
1997-000139 C8,Subdivision,"TARRYTOWN PLACE, AMENDED PLAT OF LOTS 68,69,70,71",NA,NA,Approved,999,"TARRYTOWN PLACE, AMENDED PLAT OF LOTS 68,69,70,71",NA,03/02/2007 06:10:13 AM,06/27/1997,NA,1997,NA,NA,NA
1984-000115 C8,Subdivision,WELLS BRANCH PHASE R SECTION 2,NA,NA,Closed,999,WELLS BRANCH PHASE R SECTION 2,04/09/1987,03/02/2007 06:10:13 AM,02/17/1987,NA,1987,NA,NA,NA
2004-000182 C8,Subdivision,SAVAGE SUBDIVISION,Final Plat,Without Preliminary,Vacated,SF,SAVAGE SUBDIVISION,08/11/2005,10/11/2017 04:01:09 PM,12/06/2004,NA,2004,78750,NA,NA
1983-000011 C8,Subdivision,GARDENS AT BULLCREEK,NA,NA,Closed,"999, 999, 999",GARDENS AT BULLCREEK,NA,03/02/2007 06:10:13 AM,02/22/1994,NA,1994,NA,NA,NA
1985-000006 C8,Subdivision,H.E. BRODIE ADDITION SECTION 3,NA,NA,Closed,999,H.E. BRODIE ADDITION SECTION 3,10/24/1994,03/02/2007 06:10:13 AM,11/12/1986,NA,1986,NA,NA,NA
1984-000196 C8,Subdivision,STONE CANYON SECTION THREE,NA,NA,Approved,"999, 999, 999",STONE CANYON SECTION THREE,06/12/1996,03/02/2007 06:10:13 AM,02/21/1996,NA,1996,NA,NA,37
1996-000116 C8,Subdivision,JOHN KING SUBDIVISION,Final Plat,Previously Unplatted,Approved,"999, 999",JOHN KING SUBDIVISION,NA,05/21/2009 02:49:06 PM,06/13/1996,NA,1996,78753,NA,2
1982-000048 C8,Subdivision,STASSNEY HEIGHTS,NA,NA,Approved,999,STASSNEY HEIGHTS,07/29/1988,03/02/2007 06:10:13 AM,05/06/1988,NA,1988,NA,NA,NA
1993-000076 C8,Subdivision,"TECOLOTE FARMS - WITHDRAWN, SEE C8-94-0096.0A",NA,NA,Withdrawn,999,"TECOLOTE FARMS - WITHDRAWN, SEE C8-94-0096.0A",06/01/1993,03/02/2007 06:10:13 AM,05/07/1993,NA,1993,NA,NA,NA
1995-000144 C8,Subdivision,"LAKE SHORE ADDITION, AMENDED PLAT OF LOTS 97 & 98",NA,NA,Approved,999,"LAKE SHORE ADDITION, AMENDED PLAT OF LOTS 97 & 98",NA,03/02/2007 06:10:13 AM,07/05/1995,NA,1995,78746,NA,2
1985-000156 C8,Subdivision,"LEGEND OAKS PHASE A, SECTION 4 & PHASE B",NA,NA,Approved,"999, 999, 999","LEGEND OAKS PHASE A, SECTION 4 & PHASE B",07/28/1987,03/02/2007 06:10:13 AM,07/13/1987,NA,1987,NA,NA,NA
1984-000058 C8,Subdivision,VILLAGE AT WESTERN OAKS SECTIONS 23 & 24,NA,NA,Approved,"999, 999",VILLAGE AT WESTERN OAKS SECTIONS 23 & 24,07/12/1993,03/02/2007 06:10:13 AM,07/24/1992,NA,1992,NA,NA,NA
2000-002273 C8,Subdivision,6836 BEE CAVES BUSINESS PARK,Final Plat,Without Preliminary,Approved,OFC,6836 BEE CAVES BUSINESS PARK,03/27/2001,03/02/2007 06:10:13 AM,12/12/2000,NA,2000,NA,NA,1
1992-000183 C8,Subdivision,MABRY SUBDIVISION,NA,NA,Approved,"999, 999",MABRY SUBDIVISION,07/09/1993,03/02/2007 06:10:13 AM,08/07/1992,NA,1992,NA,NA,NA
1996-000199 C8,Subdivision,MEADOWS AT ROYSTON LANE  **EXPIRED**,Final Plat,Previously Unplatted,Expired,999,MEADOWS AT ROYSTON LANE  **EXPIRED**,NA,04/16/2009 02:33:30 PM,09/17/1996,NA,1996,NA,NA,1
2001-000191 C,Subdivision Joint City/County,"AVERY BROOKSIDE, PHASE TWO-B",Subdivision Construction Plan,NA,Approved and Released,"SF, ROW","AVERY BROOKSIDE, PHASE TWO-B",03/29/2005,03/02/2007 06:10:13 AM,11/22/2002,NA,2002,NA,NA,NA
1995-000251 C8,Subdivision,"OAKVALE, 2ND RESUB OF LOTS 2-4 & PART OF 5, RESUB OF LOTS C & D",Final Plat,Without Preliminary,Approved,999,"OAKVALE, 2ND RESUB OF LOTS 2-4 & PART OF 5, RESUB OF LOTS C & D",NA,10/28/2010 05:08:12 PM,09/27/1995,NA,1995,78705,NA,NA
1997-000025 C8,Subdivision,"COLDWATER SECTION 4, PHASE B (A.K.A. C8-97-0025.8A)",Final Plat,With Preliminary,Expired,999,"COLDWATER SECTION 4, PHASE B (A.K.A. C8-97-0025.8A)",12/22/1998,03/02/2007 06:10:13 AM,03/26/1998,NA,1998,NA,NA,NA
1986-000097 C8,Subdivision,GARNER FARMS,NA,NA,Approved,999,GARNER FARMS,NA,03/02/2007 06:10:13 AM,08/20/1986,NA,1986,NA,NA,NA
1985-000011 C8,Subdivision,"SCOFIELD FARMS PHASE 8, SECTION 1",NA,NA,Approved and Released,"999, 999, 999, 999","SCOFIELD FARMS PHASE 8, SECTION 1",04/12/1995,03/02/2007 06:10:13 AM,02/22/1994,NA,1994,NA,NA,NA
1983-000068 C8,Subdivision,RIVER PLACE (REVISED PRELIMINARY),NA,NA,Approved,"999, 999, 999, 999, 999",RIVER PLACE (REVISED PRELIMINARY),05/04/1995,03/02/2007 06:10:13 AM,01/13/1995,NA,1995,NA,NA,NA
1996-000021 C8,Subdivision,PLEASANT RUN PLACE,Final Plat,Resubdivision,Approved,999,PLEASANT RUN PLACE,NA,04/20/2009 09:18:41 AM,02/07/1996,NA,1996,NA,NA,3
2001-000214 C8,Subdivision,AVERY RANCH FAR WEST PHASE ONE REVISION 2,Preliminary Plan,Revised Preliminary,Approved,"SF, ROW",AVERY RANCH FAR WEST PHASE ONE REVISION 2,10/15/2002,03/02/2007 06:10:13 AM,08/20/2002,NA,2002,NA,NA,NA
1992-000211 C8,Subdivision,QUARRY SUBDIVISION SECTION TWO,NA,NA,Approved,999,QUARRY SUBDIVISION SECTION TWO,05/28/1993,03/02/2007 06:10:13 AM,01/25/1993,NA,1993,NA,NA,NA
1994-000002 C8,Subdivision,NORTHTOWN WEST SECTION ONE,NA,NA,Approved,"999, 999",NORTHTOWN WEST SECTION ONE,10/24/1994,03/02/2007 06:10:13 AM,04/11/1994,NA,1994,NA,NA,NA
1998-000123 C8,Subdivision,"STORM 290, 2ND REPLAT OF BLOCK A, LOT 1",Final Plat,Without Preliminary,Approved,999,"STORM 290, 2ND REPLAT OF BLOCK A, LOT 1",NA,03/02/2007 06:10:13 AM,07/22/1998,NA,1998,NA,NA,NA
1987-000056 C8,Subdivision,STEWART LANDING,NA,NA,Closed,999,STEWART LANDING,NA,03/02/2007 06:10:13 AM,07/20/1987,NA,1987,NA,NA,1
1987-000050 C8,Subdivision,M & M SUBDIVISION,Final Plat,Without Preliminary,Approved,999,M & M SUBDIVISION,NA,09/28/2007 02:05:28 PM,07/01/1987,NA,1987,78653,NA,2
1993-000182 C8,Subdivision,HARRIS BRANCH PHASE ONE-C,NA,NA,Approved,"999, 999",HARRIS BRANCH PHASE ONE-C,01/04/1994,03/02/2007 06:10:13 AM,10/11/1993,NA,1993,NA,NA,NA
1998-000078 C8,Subdivision,"TIMBER VILLAGE AMENDED,  AMENDED PLAT OF LTS 16B & 16C OF RESUB OF LT 16 BLOCK D",Final Plat,Amended Plat,Expired,999,"TIMBER VILLAGE, AMENDED PLAT OF LOTS 16-B & 16-C OF THE RESUB OF LOT 16 BLOCK D",NA,02/04/2009 02:57:19 PM,05/04/1998,NA,1998,NA,NA,2
1992-000007 C8,Subdivision,ANDERSON ARBOR,NA,NA,Approved,NA,ANDERSON ARBOR,12/14/1999,03/02/2007 06:10:13 AM,11/16/1999,NA,1999,NA,NA,NA
1988-000019 C8,Subdivision,YAGER LANE BUSINESS PARK SECTION ONE,NA,NA,Approved,999,YAGER LANE BUSINESS PARK SECTION ONE,06/02/1988,03/02/2007 06:10:13 AM,03/07/1988,NA,1988,NA,NA,NA
1984-000119 C8,Subdivision,"WELLS BRANCH PH V, SEC 2",Final Plat,With Preliminary,Approved,999,"WELLS BRANCH PHASE V, SECTION 2",02/09/1987,03/17/2009 08:48:20 AM,12/12/1986,NA,1986,78728,NA,6
1993-000073 C8,Subdivision,"ROB ROY ON THE CREEK SECTION 4, RESUBDIVISION OF LOT 102",NA,NA,Approved and Released,999,"ROB ROY ON THE CREEK SECTION 4, RESUBDIVISION OF LOT 102",10/04/1994,03/02/2007 06:10:13 AM,04/01/1994,NA,1994,NA,NA,NA
1995-000005 C8,Subdivision,BULL CREEK BLUFF ESTATES SEC. 2,NA,NA,Expired,999,BULL CREEK BLUFF ESTATES SEC. 2,NA,03/02/2007 06:10:13 AM,01/09/1995,NA,1995,NA,NA,NA
1988-000001 C8,Subdivision,"DAVENPORT WEST PUD SECTION 1, TRACT D, ROB ROY PHASE THREE",Subdivision Construction Plan,NA,Approved and Released,999,"DAVENPORT WEST PUD SECTION 1, TRACT D, ROB ROY PHASE THREE",NA,03/02/2007 06:10:13 AM,10/26/1992,NA,1992,NA,NA,NA
1988-000069 C8,Subdivision,BRITT KENNARD,NA,NA,Expired,999,BRITT KENNARD,08/18/1988,03/02/2007 06:10:13 AM,08/01/1988,NA,1988,NA,NA,NA
2002-000058 C8,Subdivision,DEVONSHIRE VILLAGE (SMART HOUSING),Subdivision Construction Plan,NA,Approved and Released,"SF, GRBL, ROW",DEVONSHIRE VILLAGE (SMART HOUSING),04/05/2006,03/02/2007 06:10:13 AM,11/21/2005,NA,2005,NA,NA,NA
1992-000005 C8,Subdivision,"GARDENS AT WESTLAKE, THE",NA,NA,Approved,999,"GARDENS AT WESTLAKE, THE",02/14/1992,03/02/2007 06:10:13 AM,01/23/1992,NA,1992,NA,NA,6
1992-000086 C8,Subdivision,SOUTH FORK ESTATES,NA,NA,Approved,999,SOUTH FORK ESTATES,06/08/1992,03/02/2007 06:10:13 AM,05/14/1992,NA,1992,NA,NA,NA
1985-000027 C8,Subdivision,MEADOWS OF TRAVIS OAKS PHASE B (SLS),NA,NA,Closed,999,MEADOWS OF TRAVIS OAKS PHASE B (SLS),NA,03/02/2007 06:10:13 AM,11/18/1985,NA,1985,NA,NA,NA
1999-000023 C8,Subdivision,"SUMMIT ON ECK LANE, THE",Preliminary Plan,Preliminary,Approved,999,"SUMMIT ON ECK LANE, THE",06/25/1999,03/02/2007 06:10:13 AM,02/09/1999,NA,1999,NA,NA,NA
1984-000164 C8,Subdivision,CIRCLE C PHASE A SECTION ONE,NA,NA,Closed,999,CIRCLE C PHASE A SECTION ONE,01/26/1989,03/02/2007 06:10:13 AM,01/10/1989,NA,1989,NA,NA,NA
2007-128536 C8,Subdivision,Pioneer Crossing West Section 9A,Subdivision Construction Plan,Non-Concurrent,Approved and Released,Single Family,"SF, PUB, ROW",12/03/2007,12/11/2007 11:53:12 AM,06/12/2007,11/29/2007,2007,NA,NA,87
1984-000189 C8,Subdivision,TECH. RIDGE SECTION 6 (RESUBMITTAL OF C8-84-189.05),Final Plat,With Preliminary,Approved,"MF, ROW, OFC, RET",TECH. RIDGE SECTION 6 (RESUBMITTAL OF C8-84-189.05),05/24/2000,03/02/2007 06:10:13 AM,05/05/2000,NA,2000,NA,NA,NA
1990-000073 C8,Subdivision,LAKEWOOD SECTION 5-A,NA,NA,Approved and Released,999,LAKEWOOD SECTION 5-A,06/25/1991,03/02/2007 06:10:13 AM,06/06/1991,NA,1991,NA,NA,NA
1997-000079 C8,Subdivision,ANW SUBDIVISION (RESUBDIVISION) (AKA STONEBRIDGE IV RESUB OF LOT 1-A),NA,NA,Approved,999,ANW SUBDIVISION (RESUBDIVISION) (AKA STONEBRIDGE IV RESUB OF LOT 1-A),NA,03/02/2007 06:10:13 AM,04/17/1997,NA,1997,NA,NA,NA
1987-000004 C8,Subdivision,GRAND MEADOW (FORMERLY THE BEND AT NUCKOLS CROSSING),NA,NA,Closed,999,GRAND MEADOW (FORMERLY THE BEND AT NUCKOLS CROSSING),07/20/1988,03/02/2007 06:10:13 AM,06/28/1988,NA,1988,NA,NA,NA
1986-000110 C8,Subdivision,DEER PARK/LIVE OAK/DOMINIQUE SUBDIVISION,NA,NA,Approved,"999, 999, 999",DEER PARK/LIVE OAK/DOMINIQUE SUBDIVISION,11/21/1986,03/02/2007 06:10:13 AM,11/03/1986,NA,1986,NA,NA,NA
1985-000130 C8,Subdivision,CAT HOLLOW SEC. 1 (NO LONGER IN AUSTIN ETJ),NA,NA,Approved,999,CAT HOLLOW SEC. 1 (NO LONGER IN AUSTIN ETJ),06/25/1986,03/02/2007 06:10:13 AM,06/10/1986,NA,1986,NA,NA,7
1992-000206 C8,Subdivision,HARRIS BRANCH PHASE ONE-B,NA,NA,Approved,999,HARRIS BRANCH PHASE ONE-B,09/24/1993,03/02/2007 06:10:13 AM,08/31/1992,NA,1992,NA,NA,NA
1981-000022 C8,Subdivision,FAIRWAY AT GREAT HILLS,NA,NA,Approved and Released,999,FAIRWAY AT GREAT HILLS,03/02/1993,03/02/2007 06:10:13 AM,10/27/1992,NA,1992,NA,NA,NA
1995-000119 C8,Subdivision,WESTERN OAKS III-C,NA,NA,Approved and Released,"999, 999",WESTERN OAKS III-C,NA,03/02/2007 06:10:13 AM,08/14/1995,NA,1995,NA,NA,NA
1990-000144 C8,Subdivision,RIVER COVE,NA,NA,Approved,"999, 999",RIVER COVE,04/08/1991,03/02/2007 06:10:13 AM,03/01/1991,NA,1991,NA,NA,NA
1983-000029 C8,Subdivision,TRAVIS COUNTRY,NA,NA,Closed,999,TRAVIS COUNTRY,NA,03/02/2007 06:10:13 AM,04/08/1988,NA,1988,NA,NA,NA
1992-000009 C8,Subdivision,BRATTON PARK SECTION 1,NA,NA,Approved and Released,"999, 999",BRATTON PARK SECTION 1,NA,03/02/2007 06:10:13 AM,04/16/1993,NA,1993,NA,NA,NA
2008-087494 C8,Subdivision,Z.F.B. Resubdivision,Final Plat,Resubdivision,Expired,"MF,OFC,RET,IND",NA,NA,11/01/2009 03:45:49 AM,11/06/2008,NA,2008,78750,1,3
1985-000070 C8,Subdivision,CANYON CREEK- SECTION 22,NA,NA,Approved,"999, 999, 999",CANYON CREEK- SECTION 22,10/29/1998,03/02/2007 06:10:13 AM,04/14/1998,NA,1998,NA,NA,NA
1997-000125 C8,Subdivision,MILWOOD SECTION 40,NA,NA,Approved,"999, 999",MILWOOD SECTION 40,NA,03/02/2007 06:10:13 AM,06/12/1997,NA,1997,NA,NA,NA
1998-000010 C8,Subdivision,"WESTVIEW ON LAKE AUSTIN PHASE C, SECTION 3, REPLAT",Final Plat,Without Preliminary,Approved,"999, 999, 999","WESTVIEW ON LAKE AUSTIN PHASE C, SECTION 3, REPLAT",NA,03/02/2007 06:10:13 AM,01/21/1998,NA,1998,NA,NA,NA
1985-000070 C8,Subdivision,"CANYON CREEK SECTIONS 17, 19, 26 & 27, REVISED",NA,NA,Approved,999,"CANYON CREEK SECTIONS 17, 19, 26 & 27, REVISED",01/08/1993,03/02/2007 06:10:13 AM,02/24/1992,NA,1992,NA,NA,NA
1984-000039 C8,Subdivision,"GRANDVIEW HILLS, SECTION 4",Subdivision Construction Plan,NA,Approved and Released,"999, 999, 999","GRANDVIEW HILLS, SECTION 4",11/29/1999,03/02/2007 06:10:13 AM,03/10/1999,NA,1999,NA,NA,NA
